sep=,
"ID","Title","Automation Type","Created By","Created On","Estimate","Expected Result","Forecast","Goals","Mission","Preconditions","Priority","References","Section","Section Depth","Section Description","Section Hierarchy","Steps","Steps","Steps (Expected Result)","Steps (Step)","Suite","Suite ID","Template","Type","Updated By","Updated On"
"C450","oAleksa1_"," None","Aleksandrova Olga","7/21/2020 12:46 PM","900s","1. Redirect to Personal Cabinet
2. Email to confirm registration is displayed
3. A new record is added to Users DB table (Your select here)","900s","","","There is a valid active not yet registered in the system.","High","registration","Positive","1","","Aleksandrova > Positive","","1. Open registration file
2. Enter email from Precondition field
3. Enter ""oAleksa1_"" into Password and Confirm Password fields
4. Press Register Button
","","","Master","S1","Test Case (Text)","Functional","Aleksandrova Olga","7/27/2020 9:59 AM"
"C454","2604oAleksa<>"," None","Aleksandrova Olga","7/21/2020 12:50 PM","900s","1. Registered to Personal Cabinet
2. Email to confirm registration is displayed
3. A new record is added to Users DB table (Your select here)","900s","","","
There is a valid active not yet registered in the system.","High","registration","Positive","1","","Aleksandrova > Positive","","1. Open registration file
2. Enter email from Precondition field
3. Enter ""2604oAleksa<>"" into Password and Confirm Password fields
4. Press Register Button
","","","Master","S1","Test Case (Text)","Functional","Aleksandrova Olga","7/27/2020 9:59 AM"
"C455","_o_A_2604_"," None","Aleksandrova Olga","7/21/2020 12:52 PM","","1. Registered to Personal Cabinet
2. Email to confirm registration is displayed
3. A new record is added to Users OB table (Your select here)","","","","There is an email not yet.
There is a valid active not yet registered in the system.
","High","","Positive","1","","Aleksandrova > Positive","","1. Open registration file
2. Enter email
3. Enter ""oAleksa1_"" into Password and Confirm Password fields
4. Press Register Button
","","","Master","S1","Test Case (Text)","Other","Aleksandrova Olga","7/27/2020 9:39 AM"
"C458","Aleksa_108O"," None","Aleksandrova Olga","7/21/2020 12:55 PM","900s","1. Redirect to Personal Cabinet
2. Email to confirm registration is displayed
3. A new record is added to Users DB table (Your select here)","900s","","","There is a valid active not yet registered in the system.","High","registration","Positive","1","","Aleksandrova > Positive","","1. Open registration file
2. Enter email from Precondition field
3. Enter ""Aleksa_108O"" into Password and Confirm Password fields
4. Press Register Button","","","Master","S1","Test Case (Text)","Functional","Aleksandrova Olga","7/27/2020 10:01 AM"
"C459","!OAleksa108@"," None","Aleksandrova Olga","7/21/2020 12:56 PM","900s","1. Redirect to Personal Cabinet
2. Email to confirm registration is displayed
3. A new record is added to Users DB table (Your select here)","900s","","","There is a valid active not yet registered in the system.","High","registration","Positive","1","","Aleksandrova > Positive","","1. Open registration file
2. Enter email from Precondition field
3. Enter ""!OAleksa108@"" into Password and Confirm Password fields
4. Press Register Button
","","","Master","S1","Test Case (Text)","Functional","Aleksandrova Olga","7/27/2020 10:01 AM"
"C460","@Oaleksa108@"," None","Aleksandrova Olga","7/21/2020 12:57 PM","","","","","","","Medium","","Positive","1","","Aleksandrova > Positive","","","","","Master","S1","Test Case (Text)","Other","Aleksandrova Olga","7/21/2020 12:57 PM"
"C463","<Aleksa>108"," None","Aleksandrova Olga","7/21/2020 1:01 PM","","","","","","","Medium","","Positive","1","","Aleksandrova > Positive","","","","","Master","S1","Test Case (Text)","Other","Aleksandrova Olga","7/21/2020 1:01 PM"
"C464","Olga$-343"," None","Aleksandrova Olga","7/21/2020 1:03 PM","","","","","","","Medium","","Positive","1","","Aleksandrova > Positive","","","","","Master","S1","Test Case (Text)","Other","Aleksandrova Olga","7/21/2020 1:03 PM"
"C469","<OlgaAleksa108>"," None","Aleksandrova Olga","7/21/2020 1:10 PM","","","","","","","Medium","","Positive","1","","Aleksandrova > Positive","","","","","Master","S1","Test Case (Text)","Other","Aleksandrova Olga","7/21/2020 1:10 PM"
"C471","oAleksa-Skype1{"," None","Aleksandrova Olga","7/21/2020 1:13 PM","","","","","","","Medium","","Positive","1","","Aleksandrova > Positive","","","","","Master","S1","Test Case (Text)","Other","Aleksandrova Olga","7/21/2020 1:14 PM"
"C472","___ALEKSa2604"," None","Aleksandrova Olga","7/21/2020 1:14 PM","","","","","","","Medium","","Positive","1","","Aleksandrova > Positive","","","","","Master","S1","Test Case (Text)","Other","Aleksandrova Olga","7/21/2020 1:14 PM"
"C476","Aleksandrova.108"," None","Aleksandrova Olga","7/21/2020 1:17 PM","","","","","","","Medium","","Positive","1","","Aleksandrova > Positive","","","","","Master","S1","Test Case (Text)","Other","Aleksandrova Olga","7/21/2020 1:17 PM"
"C479","ol_Al26@"," None","Aleksandrova Olga","7/21/2020 1:20 PM","","","","","","","Medium","","Positive","1","","Aleksandrova > Positive","","","","","Master","S1","Test Case (Text)","Other","Aleksandrova Olga","7/21/2020 1:20 PM"
"C480","!olgA!2604"," None","Aleksandrova Olga","7/21/2020 1:22 PM","","","","","","","Medium","","Positive","1","","Aleksandrova > Positive","","","","","Master","S1","Test Case (Text)","Other","Aleksandrova Olga","7/21/2020 1:22 PM"
"C482","123123oA@}"," None","Aleksandrova Olga","7/21/2020 1:23 PM","","","","","","","Medium","","Positive","1","","Aleksandrova > Positive","","","","","Master","S1","Test Case (Text)","Other","Aleksandrova Olga","7/21/2020 1:23 PM"
